Game #,Day,Date,Away Team,Home Team,Away Score,Home Score,OT?
1,1,9/20/26,Las Vegas Vipers,Indianapolis Ghosts,,,
2,1,9/20/26,Denver Mountain Lions,Seattle Dragons,,,
3,1,9/20/26,San Antonio Bandits,Portland Sea Lions,,,
4,1,9/20/26,Florida Sunshine,Richmond Robbers,,,
5,1,9/20/26,Jacksonville Blood Hounds,Nevada Archers,,,
6,1,9/20/26,Brooklyn Bulldogs,Montana Miners,,,
7,1,9/20/26,Washington Admirals,Iowa Rebels,,,
8,1,9/20/26,Cleveland Demons,New Orleans Whalers,,,
9,2,9/21/26,Kansas City Metrostars,San Antonio Bandits,,,
10,2,9/21/26,Atlanta Cobalts,Columbus Cougars,,,
11,2,9/21/26,South Dakota Spartans,Charleston Tsunami,,,
12,2,9/21/26,Philadelphia Destroyers,Portland Sea Lions,,,
13,2,9/21/26,Raleigh Wildcats,Long Island Blizzard,,,
14,2,9/21/26,Iowa Rebels,Brooklyn Bulldogs,,,
15,2,9/21/26,Denver Mountain Lions,Tennessee Wolverines,,,
16,2,9/21/26,Montana Miners,Las Vegas Vipers,,,
17,3,9/22/26,Denver Mountain Lions,Montana Miners,,,
18,3,9/22/26,Indianapolis Ghosts,Jacksonville Blood Hounds,,,
19,3,9/22/26,Iowa Rebels,Kansas City Metrostars,,,
20,3,9/22/26,Long Island Blizzard,Las Vegas Vipers,,,
21,3,9/22/26,Arizona Heat,Honolulu Hawks,,,
22,3,9/22/26,South Dakota Spartans,Houston Hammerheads,,,
23,3,9/22/26,Seattle Dragons,Oklahoma Twisters,,,
24,3,9/22/26,Detroit Motors,Tennessee Wolverines,,,
25,4,9/23/26,Charleston Tsunami,Montana Miners,,,
26,4,9/23/26,Long Island Blizzard,New Orleans Whalers,,,
27,4,9/23/26,Denver Mountain Lions,Chicago Rockets,,,
28,4,9/23/26,Honolulu Hawks,Oklahoma Twisters,,,
29,4,9/23/26,Nevada Archers,Arizona Heat,,,
30,4,9/23/26,Seattle Dragons,North Dakota Bison,,,
31,4,9/23/26,Houston Hammerheads,Kansas City Metrostars,,,
32,4,9/23/26,South Dakota Spartans,Washington Admirals,,,
33,5,9/24/26,Atlanta Cobalts,Puerto Rico Toros,,,
34,5,9/24/26,Oklahoma Twisters,Florida Sunshine,,,
35,5,9/24/26,Fort Worth Defenders,Houston Hammerheads,,,
36,5,9/24/26,Baltimore Oceanics,Raleigh Wildcats,,,
37,5,9/24/26,Washington Admirals,Chicago Rockets,,,
38,5,9/24/26,Richmond Robbers,Charleston Tsunami,,,
39,5,9/24/26,Brooklyn Bulldogs,Columbus Cougars,,,
40,5,9/24/26,Detroit Motors,Cincinnati Thunderbolts,,,
41,6,9/25/26,Jacksonville Blood Hounds,New York Steamrollers,,,
42,6,9/25/26,North Dakota Bison,Honolulu Hawks,,,
43,6,9/25/26,Portland Sea Lions,Chicago Rockets,,,
44,6,9/25/26,Long Island Blizzard,Indianapolis Ghosts,,,
45,6,9/25/26,Washington Admirals,Tennessee Wolverines,,,
46,6,9/25/26,Lincoln Lumberjacks,Florida Sunshine,,,
47,6,9/25/26,Philadelphia Destroyers,Baltimore Oceanics,,,
48,6,9/25/26,Puerto Rico Toros,Brooklyn Bulldogs,,,
49,7,9/26/26,Puerto Rico Toros,Kansas City Metrostars,,,
50,7,9/26/26,San Antonio Bandits,Washington Admirals,,,
51,7,9/26/26,Tennessee Wolverines,Baltimore Oceanics,,,
52,7,9/26/26,Chicago Rockets,St. Louis Leopards,,,
53,7,9/26/26,North Dakota Bison,Arizona Heat,,,
54,7,9/26/26,Charleston Tsunami,New York Steamrollers,,,
55,7,9/26/26,Indianapolis Ghosts,Lincoln Lumberjacks,,,
56,7,9/26/26,Raleigh Wildcats,Denver Mountain Lions,,,
57,8,9/27/26,Nevada Archers,Honolulu Hawks,,,
58,8,9/27/26,Portland Sea Lions,Denver Mountain Lions,,,
59,8,9/27/26,Puerto Rico Toros,Tennessee Wolverines,,,
60,8,9/27/26,Memphis Cannons,Fort Worth Defenders,,,
61,8,9/27/26,Las Vegas Vipers,Kansas City Metrostars,,,
62,8,9/27/26,Brooklyn Bulldogs,Baltimore Oceanics,,,
63,8,9/27/26,New Orleans Whalers,Cleveland Demons,,,
64,8,9/27/26,Iowa Rebels,Florida Sunshine,,,
65,9,9/28/26,Tennessee Wolverines,New York Steamrollers,,,
66,9,9/28/26,Fort Worth Defenders,Jacksonville Blood Hounds,,,
67,9,9/28/26,Denver Mountain Lions,Kansas City Metrostars,,,
68,9,9/28/26,Seattle Dragons,New Orleans Whalers,,,
69,9,9/28/26,Iowa Rebels,San Antonio Bandits,,,
70,9,9/28/26,St. Louis Leopards,Lincoln Lumberjacks,,,
71,9,9/28/26,Richmond Robbers,Florida Sunshine,,,
72,9,9/28/26,Memphis Cannons,Charleston Tsunami,,,
73,10,9/29/26,Houston Hammerheads,Fort Worth Defenders,,,
74,10,9/29/26,Seattle Dragons,North Dakota Bison,,,
75,10,9/29/26,Washington Admirals,Las Vegas Vipers,,,
76,10,9/29/26,Detroit Motors,Charleston Tsunami,,,
77,10,9/29/26,San Antonio Bandits,Kansas City Metrostars,,,
78,10,9/29/26,Indianapolis Ghosts,Columbus Cougars,,,
79,10,9/29/26,Brooklyn Bulldogs,Puerto Rico Toros,,,
80,10,9/29/26,Honolulu Hawks,Montana Miners,,,
81,11,9/30/26,Cleveland Demons,Atlanta Cobalts,,,
82,11,9/30/26,Montana Miners,Arizona Heat,,,
83,11,9/30/26,Honolulu Hawks,St. Louis Leopards,,,
84,11,9/30/26,Chicago Rockets,Memphis Cannons,,,
85,11,9/30/26,New Orleans Whalers,Puerto Rico Toros,,,
86,11,9/30/26,Baltimore Oceanics,Washington Admirals,,,
87,11,9/30/26,Raleigh Wildcats,Florida Sunshine,,,
88,11,9/30/26,Portland Sea Lions,Tennessee Wolverines,,,
89,12,10/1/26,Montana Miners,North Dakota Bison,,,
90,12,10/1/26,Tennessee Wolverines,Raleigh Wildcats,,,
91,12,10/1/26,Indianapolis Ghosts,Atlanta Cobalts,,,
92,12,10/1/26,Baltimore Oceanics,Arizona Heat,,,
93,12,10/1/26,Philadelphia Destroyers,Long Island Blizzard,,,
94,12,10/1/26,Fort Worth Defenders,Iowa Rebels,,,
95,12,10/1/26,Chicago Rockets,New York Steamrollers,,,
96,12,10/1/26,Cincinnati Thunderbolts,Cleveland Demons,,,
97,13,10/2/26,Memphis Cannons,Iowa Rebels,,,
98,13,10/2/26,Las Vegas Vipers,Lincoln Lumberjacks,,,
99,13,10/2/26,Long Island Blizzard,Richmond Robbers,,,
100,13,10/2/26,New York Steamrollers,Montana Miners,,,
101,13,10/2/26,Nevada Archers,Denver Mountain Lions,,,
102,13,10/2/26,Baltimore Oceanics,New Orleans Whalers,,,
103,13,10/2/26,Arizona Heat,Honolulu Hawks,,,
104,13,10/2/26,Fort Worth Defenders,Florida Sunshine,,,
105,14,10/3/26,Fort Worth Defenders,Philadelphia Destroyers,,,
106,14,10/3/26,Jacksonville Blood Hounds,Tennessee Wolverines,,,
107,14,10/3/26,Long Island Blizzard,Richmond Robbers,,,
108,14,10/3/26,Florida Sunshine,Charleston Tsunami,,,
109,14,10/3/26,Detroit Motors,Memphis Cannons,,,
110,14,10/3/26,New Orleans Whalers,Houston Hammerheads,,,
111,14,10/3/26,Cincinnati Thunderbolts,Lincoln Lumberjacks,,,
112,14,10/3/26,Raleigh Wildcats,New York Steamrollers,,,
113,15,10/4/26,Montana Miners,Detroit Motors,,,
114,15,10/4/26,Oklahoma Twisters,Fort Worth Defenders,,,
115,15,10/4/26,North Dakota Bison,Kansas City Metrostars,,,
116,15,10/4/26,New Orleans Whalers,Cincinnati Thunderbolts,,,
117,15,10/4/26,Philadelphia Destroyers,Tennessee Wolverines,,,
118,15,10/4/26,Jacksonville Blood Hounds,Raleigh Wildcats,,,
119,15,10/4/26,St. Louis Leopards,Richmond Robbers,,,
120,15,10/4/26,Las Vegas Vipers,Seattle Dragons,,,
121,16,10/5/26,Oklahoma Twisters,Memphis Cannons,,,
122,16,10/5/26,Houston Hammerheads,Florida Sunshine,,,
123,16,10/5/26,Columbus Cougars,Tennessee Wolverines,,,
124,16,10/5/26,Brooklyn Bulldogs,Nevada Archers,,,
125,16,10/5/26,Seattle Dragons,Atlanta Cobalts,,,
126,16,10/5/26,Indianapolis Ghosts,Cleveland Demons,,,
127,16,10/5/26,Long Island Blizzard,Puerto Rico Toros,,,
128,16,10/5/26,Iowa Rebels,Richmond Robbers,,,
129,17,10/6/26,St. Louis Leopards,San Antonio Bandits,,,
130,17,10/6/26,Seattle Dragons,Indianapolis Ghosts,,,
131,17,10/6/26,Long Island Blizzard,Denver Mountain Lions,,,
132,17,10/6/26,Iowa Rebels,Raleigh Wildcats,,,
133,17,10/6/26,Tennessee Wolverines,Chicago Rockets,,,
134,17,10/6/26,Fort Worth Defenders,Kansas City Metrostars,,,
135,17,10/6/26,Jacksonville Blood Hounds,Brooklyn Bulldogs,,,
136,17,10/6/26,Washington Admirals,Las Vegas Vipers,,,
137,18,10/7/26,New York Steamrollers,Columbus Cougars,,,
138,18,10/7/26,Lincoln Lumberjacks,South Dakota Spartans,,,
139,18,10/7/26,Atlanta Cobalts,St. Louis Leopards,,,
140,18,10/7/26,Puerto Rico Toros,Long Island Blizzard,,,
141,18,10/7/26,Richmond Robbers,Philadelphia Destroyers,,,
142,18,10/7/26,Iowa Rebels,Fort Worth Defenders,,,
143,18,10/7/26,North Dakota Bison,Cincinnati Thunderbolts,,,
144,18,10/7/26,Raleigh Wildcats,Las Vegas Vipers,,,
145,19,10/8/26,Houston Hammerheads,St. Louis Leopards,,,
146,19,10/8/26,Indianapolis Ghosts,Philadelphia Destroyers,,,
147,19,10/8/26,Seattle Dragons,Puerto Rico Toros,,,
148,19,10/8/26,South Dakota Spartans,Lincoln Lumberjacks,,,
149,19,10/8/26,Chicago Rockets,Kansas City Metrostars,,,
150,19,10/8/26,Charleston Tsunami,North Dakota Bison,,,
151,19,10/8/26,Arizona Heat,Denver Mountain Lions,,,
152,19,10/8/26,Cleveland Demons,New York Steamrollers,,,
153,20,10/9/26,Portland Sea Lions,Nevada Archers,,,
154,20,10/9/26,Lincoln Lumberjacks,South Dakota Spartans,,,
155,20,10/9/26,Jacksonville Blood Hounds,New York Steamrollers,,,
156,20,10/9/26,New Orleans Whalers,St. Louis Leopards,,,
157,20,10/9/26,Atlanta Cobalts,Puerto Rico Toros,,,
158,20,10/9/26,Detroit Motors,Indianapolis Ghosts,,,
159,20,10/9/26,Brooklyn Bulldogs,Charleston Tsunami,,,
160,20,10/9/26,Montana Miners,Arizona Heat,,,
161,21,10/10/26,Arizona Heat,Nevada Archers,,,
162,21,10/10/26,Kansas City Metrostars,Houston Hammerheads,,,
163,21,10/10/26,Columbus Cougars,Long Island Blizzard,,,
164,21,10/10/26,San Antonio Bandits,Honolulu Hawks,,,
165,21,10/10/26,Philadelphia Destroyers,Las Vegas Vipers,,,
166,21,10/10/26,Atlanta Cobalts,Brooklyn Bulldogs,,,
167,21,10/10/26,South Dakota Spartans,Fort Worth Defenders,,,
168,21,10/10/26,Washington Admirals,St. Louis Leopards,,,
169,22,10/11/26,Florida Sunshine,Cleveland Demons,,,
170,22,10/11/26,Cincinnati Thunderbolts,Puerto Rico Toros,,,
171,22,10/11/26,Brooklyn Bulldogs,Las Vegas Vipers,,,
172,22,10/11/26,Nevada Archers,Atlanta Cobalts,,,
173,22,10/11/26,Detroit Motors,Columbus Cougars,,,
174,22,10/11/26,San Antonio Bandits,Iowa Rebels,,,
175,22,10/11/26,Honolulu Hawks,North Dakota Bison,,,
176,22,10/11/26,Houston Hammerheads,Lincoln Lumberjacks,,,
177,23,10/12/26,Richmond Robbers,Columbus Cougars,,,
178,23,10/12/26,San Antonio Bandits,Memphis Cannons,,,
179,23,10/12/26,Jacksonville Blood Hounds,Puerto Rico Toros,,,
180,23,10/12/26,Detroit Motors,Baltimore Oceanics,,,
181,23,10/12/26,Charleston Tsunami,Arizona Heat,,,
182,23,10/12/26,Atlanta Cobalts,New Orleans Whalers,,,
183,23,10/12/26,Washington Admirals,Seattle Dragons,,,
184,23,10/12/26,New York Steamrollers,Chicago Rockets,,,
185,24,10/13/26,South Dakota Spartans,Memphis Cannons,,,
186,24,10/13/26,Kansas City Metrostars,Honolulu Hawks,,,
187,24,10/13/26,New Orleans Whalers,Detroit Motors,,,
188,24,10/13/26,Chicago Rockets,Cleveland Demons,,,
189,24,10/13/26,Iowa Rebels,St. Louis Leopards,,,
190,24,10/13/26,Indianapolis Ghosts,Tennessee Wolverines,,,
191,24,10/13/26,North Dakota Bison,Puerto Rico Toros,,,
192,24,10/13/26,Jacksonville Blood Hounds,Arizona Heat,,,
193,25,10/14/26,New York Steamrollers,Detroit Motors,,,
194,25,10/14/26,Philadelphia Destroyers,Richmond Robbers,,,
195,25,10/14/26,Brooklyn Bulldogs,Tennessee Wolverines,,,
196,25,10/14/26,Iowa Rebels,Memphis Cannons,,,
197,25,10/14/26,Raleigh Wildcats,Baltimore Oceanics,,,
198,25,10/14/26,Nevada Archers,Honolulu Hawks,,,
199,25,10/14/26,Cleveland Demons,St. Louis Leopards,,,
200,25,10/14/26,Oklahoma Twisters,Las Vegas Vipers,,,
