Team Name,City/Location,Team Nickname,Play by Play Team Name,Abbreviation,Arena Name,Goalies Use Team Colors,Owner Spending Rating,Owner Success Rating,Owner Patience Rating,Federal Tax Rate,State Tax Rate,Team Prestige,Market Size,Local Fan Base,National Fan Base,Local Popularity,National Popularity,Concession Level,Club Seating Level,Team Store Level,Parking Lot Level,Team Color 1,Hex 1,Color 1,Team Color 2,Color 2,Team Color 3,Color 3,Primary Logo,L1 Section 1,L1 Section 2,L1 Section 3,L1 Section 4,L1 Section 5,L1 Section 6,L1 Section 7,L1 Section 8,L1 Section 9,L1 Section 10,L1 Section 11,L1 Section 12,L1 Section 13,Secondary Logo,L2 Section 1,L2 Section 2,L2 Section 3,L2 Section 4,L2 Section 5,L2 Section 6,L2 Section 7,L2 Section 8,L2 Section 9,L2 Section 10,L2 Section 11,L2 Section 12,L2 Section 13,L2 Section 14,L2 Section 15,Tertiary Logo,L3 Section 1,L3 Section 2,L3 Section 3,L3 Section 4,L3 Section 5,L3 Section 6,L3 Section 7,L3 Section 8,L3 Section 9,L3 Section 10,Helmet Color 1,Helmet Color 2,Helmet Color 3,Helmet Logo,Helmet Number,Helmet Shine,Glove 1,Glove 2,Glove 3,Glove 4,Glove 5,Glove 6,Glove 7,Glove 8,Glove 9,Glove 10,Glove 11,Glove 12,Glove Shine,Jersey Style,Jersey 1,Jersey 2,Jersey 3,Jersey 4,Jersey 5,Jersey 6,Jersey 7,Jersey 8,Jersey 9,Jersey 10,Jersey 11,Jersey 12,Jersey 13,Jersey 14,Jersey 15,Main Logo,Left Shoulder,Right Shoulder,Font Style,Font 1,Font 2,Font 3,Font 4,Font 5,Font 6,Font 7,Font 8,Font 9,Font 10,Font 11,Font 12,Pant Style,Pant 1,Pant 2,Pant 3,Pant 4,Pant 5,Left Pant Logo,Right Pant Logo,Sock Style,Sock 1,Sock 2,Sock 3,Sock 4,Helmet Color 1,Helmet Color 2,Helmet Color 3,Helmet Logo,Helmet Number,Helmet Shine,Glove 1,Glove 2,Glove 3,Glove 4,Glove 5,Glove 6,Glove 7,Glove 8,Glove 9,Glove 10,Glove 11,Glove 12,Glove Shine,Jersey Style,Jersey 1,Jersey 2,Jersey 3,Jersey 4,Jersey 5,Jersey 6,Jersey 7,Jersey 8,Jersey 9,Jersey 10,Jersey 11,Jersey 12,Jersey 13,Jersey 14,Jersey 15,Main Logo,Left Shoulder,Right Shoulder,Font Style,Font 1,Font 2,Font 3,Font 4,Font 5,Font 6,Font 7,Font 8,Font 9,Font 10,Font 11,Font 12,Pant Style,Pant 1,Pant 2,Pant 3,Pant 4,Pant 5,Left Pant Logo,Right Pant Logo,Sock Style,Sock 1,Sock 2,Sock 3,Sock 4,Helmet Color 1,Helmet Color 2,Helmet Color 3,Helmet Logo,Helmet Number,Helmet Shine,Glove 1,Glove 2,Glove 3,Glove 4,Glove 5,Glove 6,Glove 7,Glove 8,Glove 9,Glove 10,Glove 11,Glove 12,Glove Shine,Jersey Style,Jersey 1,Jersey 2,Jersey 3,Jersey 4,Jersey 5,Jersey 6,Jersey 7,Jersey 8,Jersey 9,Jersey 10,Jersey 11,Jersey 12,Jersey 13,Jersey 14,Jersey 15,Main Logo,Left Shoulder,Right Shoulder,Font Style,Font 1,Font 2,Font 3,Font 4,Font 5,Font 6,Font 7,Font 8,Font 9,Font 10,Font 11,Font 12,Pant Style,Pant 1,Pant 2,Pant 3,Pant 4,Pant 5,Left Pant Logo,Right Pant Logo,Sock Style,Sock 1,Sock 2,Sock 3,Sock 4,Arena #,Wall 1,Wall 2,Wall 3,Tunnel 1,Tunnel 2,Tunnel 3,Roof,Stair 1,Stair 2,Railing,Goal Post,Seat Pattern,Seats 1,Seats 2,Seats 3,Seats 4,Seats 5,Seats 6,Boards/Glass,Stanchion Color,Scoreboard,Scoreboard 1,Scoreboard 2,Scoreboard 3,Netting Color,Center Ice Line,Center Ice Logo,Center Ice Layout,Goalie Spotlight,Skater Spotlight,Skater Spotlight Color,Goal Stanchion Effects,GSE Color 1,GSE Color 2,Signature Effects,Signature Effects Color,Hat Trick,Goal Light,Intro Stanchion Effect,ISE Color 1,ISE Color 2,Intro Effect Type,Intro Effect Type Color,On Ice Projections,Glow Stick Color,National Anthems,Prop,Powerplay Pres.,Win Presentation,Rink Announcer,Goal Horn,Goal Song,Powerplay Song,Win Song,Mascot Name,Mascot #,Show Mascot,Mascot Head,Head 1,Head 2,Head 3,Head 4,Head 5,Head 6,Head 7,Head 8,Head 9,Head 10,Head 11,Head 12,Mascot Body,Body 1,Body 2,Body 3,Body 4,Body 5,Body 6,Original Team Creator
Heat,Arizona,Heat,Heat,ARI,Domino's Center,Yes,10,10,10,0.0%,0.0%,Elite,Large,Hardcore,Hardcore,Elite,Elite,3,3,3,3,"(237,28,36)",#ED1C24,Red,"(230,119,0)",Orange,"(255,242,0)",Yellow,60,1,3,3,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,3,N/A,Yes,N/A,1,3,2,1,1,1,3,1,1,1,1,1,N/A,7,1,1,1,3,2,2,3,1,2,2,1,N/A,N/A,N/A,N/A,Primary,N/A,N/A,7,3,1,2,3,3,3,1,2,3,1,2,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,24,1,3,2,1,White,White,1,Primary,Yes,N/A,White,1,2,1,1,White,1,1,1,White,1,1,N/A,7,White,White,1,1,White,White,3,2,1,White,1,N/A,N/A,N/A,N/A,Primary,N/A,N/A,7,1,2,3,1,1,1,2,3,1,2,3,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,24,White,1,3,2,3,1,1,N/A,Yes,N/A,3,3,2,3,3,3,1,3,3,3,3,3,N/A,7,3,3,1,1,1,1,2,1,3,1,1,N/A,N/A,N/A,N/A,Primary,N/A,N/A,7,1,3,2,1,1,1,3,2,1,3,2,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,24,3,2,1,3,8,1,2,3,1,3,2,1,1,3,3,1,1,1,3,1,1,3,1,LED,1,8,1,2,3,Black,66,Primary,6,N/A,5,1,1,1,N/A,Scoreboard Fire 3,1,Hats,Bar,1,1,N/A,Scoreboard Fire 3,1,Firestorm,1,USA,14,2,Team Salute,On,"Treble (Ship Horn 1), 2 Blasts (MsLs)",Hip Hop - Bad News,Dubstep - Pixel,Pop - Feel So Alive,Heath,97,Yes,5,1,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,2,1,1,1,3,Ryan
Cobalts,Atlanta,Cobalts,Cobras,ATL,Trident Stadium,Yes,10,10,10,0.0%,0.0%,Elite,Large,Hardcore,Hardcore,Elite,Elite,3,3,3,3,"(13,0,76)",#0D004C,Navy,"(230,119,0)",Orange,"(232,232,232)",White,40,1,Black,2,1,2,3,3,2,2,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,3,N/A,Yes,N/A,1,1,2,1,1,1,2,1,1,1,2,1,N/A,8,1,1,1,2,1,2,3,2,1,1,2,1,1,N/A,N/A,Primary,N/A,N/A,21,2,1,3,2,1,3,2,3,3,2,3,3,1,1,N/A,N/A,N/A,N/A,N/A,N/A,1,1,2,1,N/A,3,1,1,N/A,Yes,N/A,3,1,2,1,3,1,3,1,1,3,1,1,N/A,8,3,1,3,3,3,2,1,2,3,3,1,1,1,N/A,N/A,Primary,N/A,N/A,21,1,2,1,1,1,1,3,2,2,1,1,1,1,3,N/A,N/A,N/A,N/A,N/A,N/A,1,3,1,2,N/A,2,2,1,N/A,Yes,N/A,2,1,2,1,2,1,2,1,2,2,1,1,N/A,8,2,1,2,2,2,3,3,1,2,1,2,2,2,N/A,N/A,Primary,N/A,N/A,21,1,3,1,1,1,1,2,3,3,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,1,2,1,3,N/A,3,1,2,1,1,2,2,1,2,2,1,2,2,1,3,2,2,3,1,LED,1,5,1,2,3,Black,66,Primary,6,N/A,5,2,1,2,N/A,Scoreboard Fire 3,2,Hats,Bar,1,2,N/A,Scoreboard Fire 3,2,Lightning,2,USA,13,2,Hammer Smash,On,"Bass (Truck 1) + Mid (Air Horn 2), 2 Blasts (MsLs)",Hip Hop - Scream,Dubstep - Pixel,Electronic - Feeling Better,Coby,27,Yes,5,1,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,2,2,2,1,2,Ryan
Oceanics,Baltimore,Oceanics,Oceanic,BAL,Progressive Center,Yes,10,10,10,0.0%,0.0%,Elite,Large,Hardcore,Hardcore,Elite,Elite,3,3,3,3,"(13,0,76)",#0D004C,Navy,"(0,174,239)",Light Blue,"(232,232,232)",White,29,1,1,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Collegiate Font 1, Wreath B",1,3,3,2,3,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,2,N/A,Yes,N/A,1,3,2,1,1,1,2,1,1,1,1,1,N/A,53,1,2,1,1,2,3,2,2,2,2,2,N/A,N/A,N/A,N/A,Primary,N/A,N/A,16,3,2,3,3,2,3,2,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,4,1,2,3,N/A,3,2,1,Secondary,Yes,N/A,3,1,2,1,3,1,2,3,3,3,1,2,N/A,53,3,1,3,3,1,2,3,3,3,2,2,N/A,N/A,N/A,N/A,Primary,N/A,N/A,16,1,2,1,1,2,1,2,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,4,3,1,2,N/A,2,1,1,Primary,Yes,N/A,2,3,3,2,2,1,3,2,2,2,3,3,N/A,53,2,1,1,3,1,3,2,2,2,1,1,N/A,N/A,N/A,N/A,Secondary,N/A,N/A,16,1,3,1,3,2,1,3,N/A,N/A,N/A,N/A,N/A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,4,2,1,3,N/A,7,1,2,2,1,2,3,1,2,2,3,1,1,1,2,1,1,2,1,LED,1,7,1,2,3,Black,66,Primary,6,N/A,1,2,7,3,2,Goal Light Smoke,1,Fish,Classic,1,2,N/A,Scoreboard Smoke 1,1,Tidal Effect,2,USA,10,4,Bowling,On,"Mid (Fog Horn 1), 3 Blasts (MsSsL), Flare (Church Bells 1)",Country - Gaining On You,Dubstep - Pixel,Electronic - True Devotion,Titanic,35,Yes,8,1,2,1,1,1,3,2,N/A,N/A,N/A,N/A,N/A,1,1,2,1,1,1,3,Ryan
Bulldogs,Brooklyn,Bulldogs,Bulldogs,BRO,Powerball Garden,Yes,10,10,10,0.0%,0.0%,Elite,Large,Hardcore,Hardcore,Elite,Elite,3,3,3,3,"(121,0,0)",#790000,Red,"(26,26,26)",Black,"(232,232,232)",White,41,1,2,3,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,3,N/A,Yes,N/A,1,2,2,2,1,2,3,1,1,1,1,1,N/A,67,1,2,1,3,2,2,2,2,2,N/A,N/A,N/A,N/A,N/A,N/A,Primary,N/A,N/A,25,3,1,2,3,3,1,3,1,3,3,2,1,1,2,N/A,N/A,N/A,N/A,N/A,N/A,7,1,2,N/A,N/A,3,1,1,N/A,Yes,N/A,3,1,3,1,3,1,3,3,3,3,1,3,N/A,67,3,1,3,3,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,Primary,N/A,N/A,25,1,3,2,1,1,3,3,2,3,1,3,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,7,3,1,N/A,N/A,2,2,3,N/A,Yes,N/A,2,1,1,1,2,1,3,2,2,2,2,2,N/A,67,2,1,2,3,1,2,2,2,2,N/A,N/A,N/A,N/A,N/A,N/A,Primary,N/A,N/A,25,3,2,1,3,3,2,3,2,2,3,2,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,7,2,1,N/A,N/A,10,1,2,1,1,2,3,1,3,3,3,1,1,1,1,1,2,2,2,LED,1,2,1,2,3,Black,66,Primary,1,N/A,3,3,1,3,N/A,Lightning Coil,1,Hats,Box,1,1,N/A,Scoreboard Smoke 3,1,Game Time,1,USA,3,2,Board Smash,On,"Bass (Fog Horn 2), 2 Blasts (MsLs), Flare (Roar 4)",Electronic - La Victoria,Dubstep - Pixel,Classical - William Tell Overture,Bulldozer,36,Yes,3,1,3,1,1,3,1,3,1,3,1,1,N/A,3,1,1,N/A,N/A,N/A,N/A,Ryan
Tsunami,Charleston,Tsunami,Superstars,CHA,Michelin Superdome,Yes,10,10,10,0.0%,0.0%,Elite,Large,Hardcore,Hardcore,Elite,Elite,3,3,3,3,"(0,114,188)",#0072BC,Blue,"(0,191,243)",Light Blue,"(26,26,26)",Black,150,1,3,3,2,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3,3,N/A,Yes,N/A,1,3,2,1,1,3,2,1,1,1,1,1,N/A,54,1,3,1,2,3,2,3,1,1,1,2,2,N/A,N/A,N/A,Primary,N/A,N/A,24,3,2,3,3,2,3,2,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,18,1,2,3,N/A,White,White,3,Primary,Yes,N/A,White,White,White,1,White,1,3,White,White,White,White,White,N/A,54,White,1,White,3,3,2,1,White,White,White,3,1,N/A,N/A,N/A,Primary,N/A,N/A,24,1,3,3,1,3,1,3,N/A,N/A,N/A,N/A,N/A,1,White,N/A,N/A,N/A,N/A,N/A,N/A,18,White,1,2,N/A,2,2,3,Primary,Yes,N/A,2,3,2,3,2,2,3,2,2,2,2,3,N/A,54,2,2,2,3,3,2,1,2,2,2,2,3,N/A,N/A,N/A,Primary,N/A,N/A,24,3,1,3,3,1,3,1,N/A,N/A,N/A,N/A,N/A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,18,2,1,3,N/A,1,1,3,1,1,2,3,3,2,2,1,3,1,1,2,3,1,2,3,LED,1,2,1,2,3,Black,66,Primary,6,N/A,5,1,1,2,N/A,Scoreboard Smoke 1,1,Hats,Bar,1,2,N/A,Scoreboard Smoke 1,1,Tidal Effect,2,USA,14,2,Chain Reaction,On,"Bass (Air Horn 1) + Treble (Truck 1), 2 Blasts (MsLs), Flare (Alarm 4)",Dubstep - Xtra,Dubstep - Pixel,Dubstep - Beauty And Chaos,Wave,8,Yes,8,1,1,2,1,3,2,2,N/A,N/A,N/A,N/A,N/A,1,1,2,2,3,1,3,Ryan
Rockets,Chicago,Rockets,Rockets,CHI,Minute Maid Arena,Yes,10,10,10,0.0%,0.0%,Elite,Large,Hardcore,Hardcore,Elite,Elite,3,3,3,3,"(236,0,140)",#EC008C,Pink,"(26,26,26)",Black,"(232,232,232)",White,122,1,2,3,3,Light Gray,1,3,1,3,2,2,1,1,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3,2,Primary,Yes,N/A,1,3,2,1,1,2,3,1,1,1,1,1,N/A,70,1,2,2,1,3,1,3,1,2,2,2,1,N/A,N/A,N/A,Primary,N/A,N/A,37,2,3,2,1,3,2,3,N/A,N/A,N/A,N/A,N/A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,3,1,2,3,N/A,3,1,2,Primary,Yes,N/A,3,1,2,1,3,1,2,3,3,3,1,2,N/A,70,3,2,3,1,1,3,1,1,3,3,3,1,N/A,N/A,N/A,Primary,N/A,N/A,37,2,1,2,1,2,2,1,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,3,3,2,1,N/A,2,2,1,N/A,Yes,N/A,2,2,1,3,2,1,3,2,2,2,2,1,N/A,70,2,2,2,1,3,1,3,1,3,3,3,1,N/A,N/A,N/A,Primary,N/A,N/A,37,3,1,3,3,1,3,1,N/A,N/A,N/A,N/A,N/A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,3,2,1,3,N/A,1,1,1,1,1,2,3,1,1,1,2,1,3,1,3,2,1,1,1,LED,1,1,1,2,3,Black,66,Primary,1,N/A,8,1,1,1,N/A,Scoreboard Fire 3,1,Alien Plushies,Classic,1,1,N/A,Scoreboard Fire 3,1,Space Travel,1,USA,15,1,Ride 'Em,On,"Bass (Boat Horn 4) + Mid (Air Horn 3), 2 Blasts (LsLs)",Miscellaneous - Playa Dorada,Dubstep - Pixel,Electronic - I Need You,Rocky,21,Yes,5,1,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,2,3,1,1,3,Ryan
Thunderbolts,Cincinnati,Thunderbolts,Thunderbirds,CIN,Cheerios Iceplex,Yes,10,10,10,0.0%,0.0%,Elite,Large,Hardcore,Hardcore,Elite,Elite,3,3,3,3,"(46,49,146)",#2E3192,Blue,"(255,242,0)",Yellow,"(26,26,26)",Black,51,3,1,2,2,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51,1,1,2,2,White,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51,2,3,1,2,3,1,N/A,N/A,N/A,N/A,1,3,2,Primary,Yes,N/A,1,3,2,1,1,3,2,1,1,1,1,1,N/A,34,1,3,1,3,1,1,1,2,2,2,2,3,3,N/A,N/A,Primary,N/A,N/A,5,2,2,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,1,1,2,2,N/A,N/A,N/A,19,1,2,3,N/A,White,1,1,Secondary,Yes,N/A,White,1,2,2,2,2,1,White,White,White,1,2,N/A,34,White,1,2,1,2,White,2,1,1,1,White,White,White,N/A,N/A,Secondary,N/A,N/A,5,1,1,White,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,White,2,1,1,N/A,N/A,N/A,19,White,1,2,N/A,3,1,2,N/A,Yes,N/A,3,2,1,2,3,1,2,3,3,3,2,1,N/A,34,3,2,3,2,2,3,3,1,1,1,1,3,3,N/A,N/A,Tertiary,N/A,N/A,5,2,2,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,2,1,1,N/A,N/A,N/A,19,3,2,1,N/A,1,1,2,1,1,2,3,1,2,2,3,1,1,1,2,1,1,2,3,LED,1,2,1,2,3,Black,66,Primary,2,N/A,5,2,3,1,2,Lightning Coil,1,Hats,Bar,1,2,N/A,Lightning Coil,1,Lightning,2,USA,15,2,Board Smash,On,"Mid (Boat Horn 4), 1 Blast (Ls)",Punk Rock - Riot Times,Dubstep - Pixel,Pop - 2 Good 4 You,Zappy,94,Yes,1,1,2,1,1,1,3,2,3,N/A,N/A,N/A,N/A,1,1,2,1,1,1,3,Ryan
Demons,Cleveland,Demons,Demons,CLE,Home Depot Arena,Yes,10,10,10,0.0%,0.0%,Elite,Large,Hardcore,Hardcore,Elite,Elite,3,3,3,3,"(230,119,0)",#E67700,Orange,"(26,26,26)",Black,"(237,28,36)",Red,73,1,2,2,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Collegiate Font 1, Plain Text C",1,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Collegiate Font 1, Plain Text D",1,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,2,N/A,Yes,N/A,1,3,2,1,1,2,3,1,1,1,1,1,N/A,69,1,2,1,1,3,1,2,2,1,1,1,3,N/A,N/A,N/A,Primary,N/A,N/A,22,2,3,2,2,3,2,3,N/A,N/A,N/A,N/A,N/A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,11,1,2,3,N/A,White,1,2,Secondary,Yes,N/A,White,2,1,3,White,1,2,White,White,White,White,White,N/A,69,White,1,2,White,White,3,2,1,White,White,White,2,N/A,N/A,N/A,Primary,N/A,N/A,22,1,2,2,White,3,1,2,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,11,White,1,2,N/A,3,2,2,Primary,Yes,N/A,2,3,1,3,1,3,2,2,2,2,2,2,N/A,69,2,3,2,2,1,2,3,3,3,3,3,2,N/A,N/A,N/A,Primary,N/A,N/A,22,3,1,1,3,1,2,1,N/A,N/A,N/A,N/A,N/A,1,3,N/A,N/A,N/A,N/A,Tertiary,Secondary,11,2,3,1,N/A,6,1,1,1,1,2,3,1,1,1,2,1,2,1,2,1,2,1,3,LED,1,3,1,2,3,Black,66,Primary,6,N/A,5,1,4,1,3,Goal Light Smoke,1,Hats,Bar,1,1,N/A,Scoreboard Smoke 1,1,Firestorm,1,USA,15,1,Ride 'Em,On,"Bass (Boat Horn 4), 3 Blasts (MsSlL), Flare (Evil Laugh 1)",Electronic - Warzone,Dubstep - Pixel,Hard Rock - Crash Car,Pumpkin,9,Yes,5,1,2,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,2,3,2,1,3,Chris
Cougars,Columbus,Cougars,Cougars,COL,Liberty Mutual Center,Yes,10,10,10,0.0%,0.0%,Elite,Large,Hardcore,Hardcore,Elite,Elite,3,3,3,3,"(241,70,16)",#F14610,Orange,"(118,118,118)",Silver,"(26,26,26)",Black,153,1,3,3,White,2,1,1,1,N/A,N/A,N/A,N/A,N/A,153,White,3,2,2,2,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,3,N/A,Yes,N/A,1,3,2,1,1,3,2,1,1,1,1,1,N/A,54,1,3,1,1,1,2,3,2,2,2,2,2,N/A,N/A,N/A,Primary,N/A,N/A,22,3,2,3,3,2,3,2,N/A,N/A,N/A,N/A,N/A,11,1,2,1,3,N/A,N/A,N/A,14,1,2,3,3,White,1,1,N/A,Yes,N/A,White,1,1,1,White,White,1,White,White,White,2,2,N/A,54,White,1,White,White,White,2,1,1,1,1,White,2,N/A,N/A,N/A,Primary,Secondary,Secondary,22,1,2,1,1,2,1,2,N/A,N/A,N/A,N/A,N/A,11,White,1,White,2,N/A,N/A,N/A,14,White,2,1,1,2,1,1,N/A,Yes,N/A,2,1,2,1,2,1,White,2,2,2,2,1,N/A,54,2,2,2,1,1,2,1,2,2,2,1,1,N/A,N/A,N/A,Secondary,N/A,N/A,22,White,1,1,White,1,White,1,N/A,N/A,N/A,N/A,N/A,11,2,1,2,1,N/A,N/A,N/A,14,2,2,1,1,8,1,1,1,1,2,3,1,1,1,3,1,5,1,3,1,2,3,2,LED,1,3,1,2,3,Black,66,Primary,1,N/A,4,1,1,1,N/A,Scoreboard Fire 1,1,Hats,Box,1,1,N/A,Scoreboard Smoke 2,1,Firestorm,1,USA,14,3,Limbo,On,"Bass (Truck 3) + Mid (Boat Horn 6), 3 Blasts (MsSsL)",Classical - Entry Of The Gladiators,Dubstep - Pixel,Country - Devils Tricks,Cooper,59,Yes,19,1,2,1,1,1,3,2,3,2,N/A,N/A,N/A,2,1,2,1,N/A,N/A,N/A,Chris
Mountain Lions,Denver,Mountain Lions,Lions,DEN,Costco Center,Yes,10,10,10,0.0%,0.0%,Elite,Large,Hardcore,Hardcore,Elite,Elite,3,3,3,3,"(241,72,16)",#F14810,Orange,"(26,26,26)",Black,"(241,203,16)",Yellow,6,1,2,3,1,3,3,1,1,N/A,N/A,N/A,N/A,N/A,"ECHL, Utah Grizzlies",3,2,2,3,2,3,White,2,3,3,3,2,3,2,3,"ECHL, Reading Royals",1,2,1,2,3,3,3,3,1,1,1,1,2,N/A,Yes,N/A,1,3,2,2,1,2,3,1,1,1,2,1,N/A,78,1,1,2,2,1,3,2,1,3,2,1,1,1,2,2,Primary,Secondary,Secondary,1,2,3,2,1,3,2,3,N/A,N/A,N/A,N/A,N/A,19,2,1,3,2,N/A,Tertiary,N/A,8,1,2,3,N/A,White,White,2,Secondary,Yes,N/A,White,1,2,1,White,2,1,1,2,2,1,1,N/A,78,White,White,White,2,2,1,2,White,1,2,2,2,2,1,2,Primary,N/A,N/A,1,1,2,2,2,1,2,1,N/A,N/A,N/A,N/A,N/A,19,White,2,2,1,N/A,N/A,N/A,8,White,1,2,N/A,3,2,2,Primary,Yes,N/A,3,2,2,3,3,2,1,3,3,3,2,2,N/A,78,3,2,2,3,2,3,1,2,2,1,3,2,2,1,2,Secondary,N/A,N/A,1,2,1,2,3,1,2,1,N/A,N/A,N/A,N/A,N/A,19,3,2,2,1,N/A,N/A,N/A,8,3,2,1,N/A,4,1,2,3,1,2,3,1,1,1,2,3,4,1,2,3,2,1,2,LED,1,8,1,2,3,Black,66,Primary,1,N/A,8,3,1,1,N/A,Goal Light Smoke,1,Teddy Bears,Vertical LED,1,1,N/A,Scoreboard Fire 1,1,Firestorm,1,USA,20,1,Bowling,On,"Mid (Boat Horn 5) + Treble (Boat Horn 4), 2 Blasts (LsLs)",Rock - How We Roll,Dubstep - Pixel,Hip Hop - Highlights,Roar,39,Yes,12,1,2,1,1,1,3,2,3,2,3,2,3,3,1,2,N/A,N/A,N/A,N/A,Ryan
