Player,AVHL ID,22-23 SA,22-23 SV,22-23 SV%,23-24 SA,23-24 SV,23-24 SV%,24-25 SA,24-25 SV,24-25 SV%,25-26 SA,25-26 SV,25-26 SV%,Total SA,Total SV,Career SV%
Lukas Dostal,1696,0,0,0.000,37,29,0.784,36,32,0.889,760,686,0.903,833,747,0.897
Petr Mrazek,1697,0,0,0.000,82,74,0.902,96,85,0.885,677,609,0.900,855,768,0.898
Ville Husso,1698,16,15,0.938,2444,2196,0.899,58,50,0.862,1131,1037,0.917,3649,3298,0.904
Jeremy Swayman,1699,1488,1321,0.888,2568,2335,0.909,2632,2413,0.917,1751,1595,0.911,8439,7664,0.908
Joonas Korpisalo,1700,0,0,0.000,2485,2277,0.916,0,0,0.000,1357,1225,0.903,3842,3502,0.912
Alex Lyon,1701,0,0,0.000,0,0,0.000,139,127,0.914,1740,1555,0.894,1879,1682,0.895
Ukko-Pekka Luukkonen,1702,0,0,0.000,62,57,0.919,2554,2319,0.908,1761,1598,0.907,4377,3974,0.908
Dustin Wolf,1704,0,0,0.000,0,0,0.000,84,75,0.893,1585,1449,0.914,1669,1524,0.913
Frederik Andersen,1707,1579,1442,0.913,2625,2406,0.917,2743,2515,0.917,1909,1736,0.909,8856,8099,0.915
Pyotr Kochetkov,1708,0,0,0.000,0,0,0.000,2700,2461,0.911,1480,1351,0.913,4180,3812,0.912
Spencer Knight,1709,1530,1380,0.902,2521,2299,0.912,2515,2282,0.907,1383,1218,0.881,7949,7179,0.903
Arvid Söderblom,1710,0,0,0.000,73,68,0.932,0,0,0.000,1618,1487,0.919,1691,1555,0.920
Mackenzie Blackwood,1711,1624,1465,0.902,2555,2339,0.915,2633,2374,0.902,1721,1551,0.901,8533,7729,0.906
Scott Wedgewood,1712,0,0,0.000,101,90,0.891,48,42,0.875,893,814,0.912,1042,946,0.908
Jet Greaves,1713,0,0,0.000,0,0,0.000,0,0,0.000,923,822,0.891,923,822,0.891
Elvis Merzlikins,1714,1494,1329,0.890,2412,2191,0.908,2634,2435,0.924,1705,1542,0.904,8245,7497,0.909
Jake Oettinger,1715,1518,1345,0.886,2693,2461,0.914,2733,2496,0.913,1729,1585,0.917,8673,7887,0.909
Casey DeSmith,1716,0,0,0.000,92,83,0.902,2579,2350,0.911,1965,1795,0.913,4636,4228,0.912
