Player,AVHL ID,22-23 G,22-23 A,22-23 P,23-24 G,23-24 A,23-24 P,24-25 G,24-25 A,24-25 P,25-26 G,25-26 A,25-26 P,Total G,Total A,Total PTS
John Carlson,0001,5,20,25,11,43,54,13,66,79,9,37,46,38,166,204
Leo Carlsson,0002,0,0,0,0,0,0,16,36,52,23,36,59,39,72,111
Cutter Gauthier,0003,0,0,0,0,0,0,11,16,27,8,26,34,19,42,61
Troy Terry,0004,20,28,48,26,35,61,16,29,45,31,34,65,93,126,219
Mikael Granlund,0005,15,17,32,24,39,63,16,22,38,27,28,55,82,106,188
Jackson LaCombe,0006,0,0,0,0,0,0,0,0,0,7,20,27,7,20,27
Jacob Trouba,0007,5,25,30,9,20,29,10,17,27,6,21,27,30,83,113
Mason McTavish,0008,2,3,5,20,32,52,26,39,65,21,47,68,69,121,190
Chris Kreider,0010,18,13,31,27,45,72,25,40,65,27,29,56,97,127,224
Radko Gudas,0011,0,0,0,2,6,8,2,15,17,8,30,38,12,51,63
Olen Zellweger,0012,0,0,0,0,0,0,5,12,17,1,9,10,6,21,27
Pavel Mintyukov,0014,0,0,0,0,0,0,6,21,27,5,12,17,11,33,44
Alex Killorn,0015,16,20,36,21,42,63,17,30,47,21,22,43,75,114,189
Frank Vatrano,0016,10,8,18,17,34,51,16,29,45,19,36,55,62,107,169
Ryan Poehling,0017,0,0,0,8,17,25,18,10,28,11,19,30,37,46,83
Ross Johnston,0018,0,0,0,10,6,16,0,0,0,0,0,0,10,6,16
Jansen Harkins,0019,2,4,6,7,14,21,8,10,18,0,0,0,17,28,45
David Pastrnak,0023,19,23,42,29,66,95,43,62,105,52,42,94,143,193,336
Charlie McAvoy,0024,5,22,27,14,44,58,14,53,67,14,43,57,47,162,209
Morgan Geekie,0025,12,21,33,10,12,22,15,23,38,19,18,37,56,74,130
Hampus Lindholm,0026,6,18,24,4,32,36,3,26,29,9,39,48,22,115,137
Pavel Zacha,0027,12,17,29,16,17,33,14,28,42,6,38,44,48,100,148
Nikita Zadorov,0028,2,7,9,0,29,29,8,22,30,6,25,31,16,83,99
Elias Lindholm,0029,16,25,41,25,37,62,17,42,59,16,41,57,74,145,219
Mason Lohrei,0030,0,0,0,0,0,0,8,11,19,4,20,24,12,31,43
Casey Mittelstadt,0031,3,3,6,19,30,49,22,60,82,24,40,64,68,133,201
Viktor Arvidsson,0032,13,23,36,20,35,55,17,28,45,16,36,52,66,122,188
Marat Khusnutdinov,0034,0,0,0,0,0,0,0,0,0,2,10,12,2,10,12
Michael Eyssimont,0035,0,0,0,0,0,0,9,16,25,13,22,35,22,38,60
Andrew Peeke,0036,1,3,4,7,12,19,6,9,15,1,18,19,15,42,57
Henri Jokiharju,0037,0,4,4,11,23,34,2,12,14,5,10,15,18,49,67
Jordan Harris,0038,0,0,0,0,0,0,5,7,12,2,10,12,7,17,24
Mark Kastelic,0039,0,0,0,5,20,25,18,21,39,12,9,21,35,50,85
Lukas Reichel,0040,0,0,0,12,26,38,13,13,26,6,23,29,31,62,93
Tanner Jeannot,0041,3,1,4,12,25,37,13,15,28,4,13,17,32,54,86
Sean Kuraly,0042,0,0,0,7,9,16,12,19,31,11,17,28,30,45,75
Rasmus Dahlin,0046,3,19,22,16,24,40,9,61,70,10,43,53,38,147,185
Tage Thompson,0047,0,0,0,29,43,72,31,53,84,31,45,76,91,141,232
Alex Tuch,0048,13,21,34,23,42,65,16,41,57,31,43,74,83,147,230
Bowen Byram,0049,2,13,15,8,27,35,5,20,25,12,18,30,27,78,105
