AVHL ID,First Name,Last Name,Full Name,Current Team,Years Left,AAV,22-23 SA,22-23 SV,22-23 SV%,23-24 SA,23-24 SV,23-24 SV%,24-25 SA,24-25 SV,24-25 SV%,25-26 SA,25-26 SV,25-26 SV%,Total SA,Total SV,Career SV%,League,Team,Overall Rating,Birthdate,Jersey #,Position(s),Height (In),Height,Weight,Age,Glove,Draft Year,Draft Round,Draft Pick,Angles,Breakaway,Five Hole,Glove High,Glove Low,Stick High,Stick Low,Passing,Poise,Poke Check,Puck Playing Freq.,Rebound Control,Recover,Aggressiveness,Agility,Durability,Endurance,Speed,Vision
1696,Lukas,Dostal,Lukas Dostal,Memphis Cannons,2,"$6,000,000",0,0,0.000,37,29,0.784,36,32,0.889,760,686,0.903,833,747,0.897,NHL,Anaheim Ducks,86,06/22/2000,1,G,74,"6'2""",190,26,Left,2018,3,85,91,87,89,85,90,87,90,81,86,89,80,88,90,88,83,88,88,85,89
1697,Petr,Mrazek,Petr Mrazek,Tennessee Wolverines,4,"$2,500,000",0,0,0.000,82,74,0.902,96,85,0.885,677,609,0.900,855,768,0.898,NHL,Anaheim Ducks,82,02/14/1992,34,G,74,"6'2""",192,34,Left,2010,5,141,86,84,87,85,87,85,87,87,88,85,85,87,86,81,82,87,87,84,85
1698,Ville,Husso,Ville Husso,Iowa Rebels,5,"$2,000,000",16,15,0.938,2444,2196,0.899,58,50,0.862,1131,1037,0.917,3649,3298,0.904,NHL,Anaheim Ducks,81,02/06/1995,33,G,75,"6'3""",205,31,Left,2014,4,94,80,84,88,86,87,88,87,85,82,81,82,86,86,80,83,81,81,83,84
1699,Jeremy,Swayman,Jeremy Swayman,San Antonio Bandits,5,"$6,000,000",1488,1321,0.888,2568,2335,0.909,2632,2413,0.917,1751,1595,0.911,8439,7664,0.908,NHL,Boston Bruins,86,11/24/1998,1,G,75,"6'3""",195,27,Left,2017,4,111,88,84,86,85,90,86,91,86,86,83,83,90,88,88,84,91,91,83,89
1700,Joonas,Korpisalo,Joonas Korpisalo,St. Louis Leopards,3,"$2,000,000",0,0,0.000,2485,2277,0.916,0,0,0.000,1357,1225,0.903,3842,3502,0.912,NHL,Boston Bruins,81,04/28/1994,70,G,76,"6'4""",200,32,Left,2012,3,62,83,80,84,85,88,86,88,83,85,81,81,85,85,84,82,85,85,83,84
1701,Alex,Lyon,Alex Lyon,Puerto Rico Toros,2,"$4,000,000",0,0,0.000,0,0,0.000,139,127,0.914,1740,1555,0.894,1879,1682,0.895,NHL,Buffalo Sabres,84,12/09/1992,34,G,73,"6'1""",199,33,Left,N/A,N/A,N/A,85,84,87,89,88,89,89,86,85,87,87,87,88,82,82,84,84,85,88
1702,Ukko-Pekka,Luukkonen,Ukko-Pekka Luukkonen,Montana Miners,5,"$3,250,000",0,0,0.000,62,57,0.919,2554,2319,0.908,1761,1598,0.907,4377,3974,0.908,NHL,Buffalo Sabres,83,03/09/1999,1,G,77,"6'5""",223,27,Left,2017,2,54,82,84,86,85,87,87,90,82,88,83,82,86,88,82,85,90,90,85,86
1703,Colten,Ellis,Colten Ellis,Memphis Cannons,5,"$1,500,000",0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,NHL,Buffalo Sabres,80,10/05/2000,92,G,73,"6'1""",191,25,Left,2019,3,93,82,86,85,86,86,83,86,86,86,83,86,80,86,79,86,85,83,86,86
1704,Dustin,Wolf,Dustin Wolf,Oklahoma Twisters,6,"$7,000,000",0,0,0.000,0,0,0.000,84,75,0.893,1585,1449,0.914,1669,1524,0.913,NHL,Calgary Flames,87,04/16/2001,32,G,72,"6'0""",166,25,Left,2019,7,214,88,87,88,84,90,89,89,88,92,86,89,92,88,87,89,87,87,89,91
1705,Devin,Cooley,Devin Cooley,Columbus Cougars,7,"$1,500,000",0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,NHL,Calgary Flames,80,05/25/1997,1,G,77,"6'5""",192,29,Left,N/A,N/A,N/A,86,83,85,85,86,88,86,80,81,82,79,84,83,82,81,80,80,83,82
1706,Brandon,Bussi,Brandon Bussi,Houston Hammerheads,7,"$5,000,000",0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,NHL,Carolina Hurricanes,85,06/25/1998,32,G,76,"6'4""",218,28,Right,N/A,N/A,N/A,88,88,87,88,89,88,89,82,80,83,79,88,89,84,85,85,82,86,84
1707,Frederik,Andersen,Frederik Andersen,Tennessee Wolverines,2,"$4,000,000",1579,1442,0.913,2625,2406,0.917,2743,2515,0.917,1909,1736,0.909,8856,8099,0.915,NHL,Carolina Hurricanes,84,10/02/1989,31,G,76,"6'4""",229,36,Left,2012,3,87,85,85,86,90,89,89,87,88,85,81,85,88,90,80,85,80,82,86,87
1708,Pyotr,Kochetkov,Pyotr Kochetkov,Raleigh Wildcats,3,"$4,000,000",0,0,0.000,0,0,0.000,2700,2461,0.911,1480,1351,0.913,4180,3812,0.912,NHL,Carolina Hurricanes,84,06/25/1999,52,G,75,"6'3""",196,27,Left,2019,2,36,83,83,88,85,91,86,89,86,86,91,87,89,88,81,89,87,87,89,83
1709,Spencer,Knight,Spencer Knight,Charleston Tsunami,1,"$6,000,000",1530,1380,0.902,2521,2299,0.912,2515,2282,0.907,1383,1218,0.881,7949,7179,0.903,NHL,Chicago Blackhawks,86,04/19/2001,30,G,75,"6'3""",191,25,Left,2019,1,13,87,84,88,86,90,88,90,86,87,88,87,90,90,82,87,85,85,87,89
1710,Arvid,Söderblom,Arvid Söderblom,Jacksonville Blood Hounds,5,"$1,500,000",0,0,0.000,73,68,0.932,0,0,0.000,1618,1487,0.919,1691,1555,0.920,NHL,Chicago Blackhawks,80,08/19/1999,40,G,75,"6'3""",180,27,Left,N/A,N/A,N/A,85,83,86,84,87,86,86,82,80,82,80,82,85,82,82,84,84,83,82
1711,Mackenzie,Blackwood,Mackenzie Blackwood,Richmond Robbers,3,"$7,000,000",1624,1465,0.902,2555,2339,0.915,2633,2374,0.902,1721,1551,0.901,8533,7729,0.906,NHL,Colorado Avalanche,87,12/09/1996,39,G,76,"6'4""",225,29,Left,2015,2,42,90,90,89,87,92,85,91,80,91,83,80,84,90,88,87,89,89,93,83
1712,Scott,Wedgewood,Scott Wedgewood,North Dakota Bison,2,"$5,000,000",0,0,0.000,101,90,0.891,48,42,0.875,893,814,0.912,1042,946,0.908,NHL,Colorado Avalanche,85,08/14/1992,41,G,74,"6'2""",201,34,Left,2010,3,84,87,88,89,88,87,90,87,85,85,83,85,89,89,83,85,82,82,85,85
1713,Jet,Greaves,Jet Greaves,Iowa Rebels,7,"$4,000,000",0,0,0.000,0,0,0.000,0,0,0.000,923,822,0.891,923,822,0.891,NHL,Columbus Blue Jackets,84,03/30/2001,73,G,72,"6'0""",188,25,Left,N/A,N/A,N/A,87,87,87,89,86,89,87,85,88,81,82,88,88,81,85,81,81,87,86
1714,Elvis,Merzlikins,Elvis Merzlikins,Cincinnati Thunderbolts,3,"$2,500,000",1494,1329,0.890,2412,2191,0.908,2634,2435,0.924,1705,1542,0.904,8245,7497,0.909,NHL,Columbus Blue Jackets,82,04/13/1994,90,G,75,"6'3""",190,32,Left,2014,3,76,85,85,86,85,88,86,88,87,85,84,88,84,85,81,82,88,88,85,84
1715,Jake,Oettinger,Jake Oettinger,Nevada Archers,3,"$10,000,000",1518,1345,0.886,2693,2461,0.914,2733,2496,0.913,1729,1585,0.917,8673,7887,0.909,NHL,Dallas Stars,90,12/18/1998,29,G,78,"6'6""",225,27,Left,2017,1,26,90,85,91,90,92,90,93,86,91,91,91,90,92,85,86,93,93,87,93
1716,Casey,DeSmith,Casey DeSmith,Detroit Motors,2,"$2,500,000",0,0,0.000,92,83,0.902,2579,2350,0.911,1965,1795,0.913,4636,4228,0.912,NHL,Dallas Stars,82,08/13/1991,1,G,72,"6'0""",188,35,Left,N/A,N/A,N/A,86,85,88,86,88,88,85,82,86,84,83,84,86,82,84,83,83,86,87
1717,John,Gibson,John Gibson,Long Island Blizzard,4,"$6,000,000",1499,1346,0.898,2559,2339,0.914,2590,2343,0.905,1844,1688,0.915,8492,7716,0.909,NHL,Detroit Red Wings,86,07/14/1993,36,G,75,"6'3""",209,33,Left,2011,2,39,88,85,88,89,89,89,89,85,85,86,81,90,90,84,84,85,85,83,86
1718,Cam,Talbot,Cam Talbot,Atlanta Cobalts,3,"$3,250,000",0,0,0.000,2504,2265,0.905,124,116,0.935,953,876,0.919,3581,3257,0.910,NHL,Detroit Red Wings,83,07/05/1987,39,G,75,"6'3""",202,39,Left,N/A,N/A,N/A,87,81,84,84,87,87,88,84,86,88,82,89,86,86,86,88,88,87,84
1719,Tristan,Jarry,Tristan Jarry,Lincoln Lumberjacks,3,"$2,500,000",0,0,0.000,114,99,0.868,2624,2413,0.920,874,803,0.919,3612,3315,0.918,NHL,Edmonton Oilers,82,04/29/1995,35,G,76,"6'4""",201,31,Left,2013,2,44,87,83,84,85,87,86,87,86,84,83,86,86,86,84,81,86,86,83,88
