Date,Game #,Away Team,Home Team,Final Score,Series Score,
April 17,1,Kansas City Metrostars,Las Vegas Vipers,3-1 LV,1-0 LV,
,2,Madison Supernovas,Denver Mountain Lions,3-2 (OT) DEN,1-0 DEN,
,3,Brooklyn Bulldogs,Richmond Robbers,5-1 RCH,1-0 RCH,
,4,Atlanta Cobalts,Cleveland Demons,4-1 CLE,1-0 CLE,
April 18,5,San Fransisco Maniacs,Seattle Dragons,4-3 (OT) SEA,1-0 SEA,
,6,Lincoln Lumberjacks,Salt Lake City Scorpions,6-2 SLC,1-0 SLC,
,7,Delaware Pilots,Baltimore Oceanics,4-3 DEL,1-0 DEL,
,8,Tennessee Wolverines,Jacksonville Blood Hounds,5-2 JAX,1-0 JAX,
April 19,9,Kansas City Metrostars,Las Vegas Vipers,7-1 KC,1-1 TIE,
,10,Madison Supernovas,Denver Mountain Lions,3-0 MAD,1-1 TIE,
,11,Brooklyn Bulldogs,Richmond Robbers,8-1 RCH,2-0 RCH,
,12,Atlanta Cobalts,Cleveland Demons,2-1 ATL,1-1 TIE,
April 20,13,San Fransisco Maniacs,Seattle Dragons,4-1 SEA,2-0 SEA,
,14,Lincoln Lumberjacks,Salt Lake City Scorpions,3-2 (OT) LIN,1-1 TIE,
,15,Delaware Pilots,Baltimore Oceanics,3-0 BAL,1-1 TIE,
,16,Tennessee Wolverines,Jacksonville Blood Hounds,5-2 JAX,2-0 JAX,
April 21,17,Las Vegas Vipers,Kansas City Metrostars,7-5 LV,2-1 LV,
,18,Denver Mountain Lions,Madison Supernovas,1-0 MAD,2-1 MAD,
,19,Richmond Robbers,Brooklyn Bulldogs,5-1 BRO,2-1 RCH,
,20,Cleveland Demons,Atlanta Cobalts,4-1 ATL,2-1 ATL,
April 22,21,Seattle Dragons,San Fransisco Maniacs,3-0 SF,2-1 SEA,
,22,Salt Lake City Scorpions,Lincoln Lumberjacks,7-2 LIN,2-1 LIN,
,23,Baltimore Oceanics,Delaware Pilots,5-4 (3OT) BAL,2-1 BAL,
,24,Jacksonville Blood Hounds,Tennessee Wolverines,4-2 TEN,2-1 JAX,
April 23,25,Las Vegas Vipers,Kansas City Metrostars,4-1 LV,3-1 LV,
,26,Denver Mountain Lions,Madison Supernovas,2-1 (OT) DEN,2-2 TIE,
,27,Richmond Robbers,Brooklyn Bulldogs,4-2 BRO,2-2 TIE,
,28,Cleveland Demons,Atlanta Cobalts,3-2 (OT) ATL,3-1 ATL,
April 24,29,Seattle Dragons,San Fransisco Maniacs,3-2 SF,2-2 TIE,
,30,Salt Lake City Scorpions,Lincoln Lumberjacks,3-0 SLC,2-2 TIE,
,31,Baltimore Oceanics,Delaware Pilots,5-2 DEL,2-2 TIE,
,32,Jacksonville Blood Hounds,Tennessee Wolverines,6-1 JAX,3-1 JAX,
April 25,33,Kansas City Metrostars,Las Vegas Vipers,3-2 KC,3-2 LV,
,34,Madison Supernovas,Denver Mountain Lions,4-0 DEN,3-2 DEN,
,35,Brooklyn Bulldogs,Richmond Robbers,3-2 BRO,3-2 BRO,
,36,Atlanta Cobalts,Cleveland Demons,4-3 (OT) ATL,4-1 ATL,
April 26,37,San Fransisco Maniacs,Seattle Dragons,2-1 (OT) SF,3-2 SF,
,38,Lincoln Lumberjacks,Salt Lake City Scorpions,6-3 SLC,3-2 SLC,
,39,Delaware Pilots,Baltimore Oceanics,3-2 DEL,3-2 DEL,
,40,Tennessee Wolverines,Jacksonville Blood Hounds,5-0 JAX,4-1 JAX,
April 27,41,Las Vegas Vipers,Kansas City Metrostars,2-1 LV,4-2 LV,
,42,Denver Mountain Lions,Madison Supernovas,3-0 MAD,3-3 TIE,
,43,Richmond Robbers,Brooklyn Bulldogs,2-1 (OT) RCH,3-3 TIE,
,44,Cleveland Demons,Atlanta Cobalts,N/A,4-1 ATL,
April 28,45,Seattle Dragons,San Fransisco Maniacs,4-1 SF,4-2 SF,
,46,Salt Lake City Scorpions,Lincoln Lumberjacks,3-1 LIN,3-3 TIE,
,47,Baltimore Oceanics,Delaware Pilots,4-3 (OT) DEL,4-2 DEL,
,48,Jacksonville Blood Hounds,Tennessee Wolverines,N/A,4-1 JAX,
April 29,49,Kansas City Metrostars,Las Vegas Vipers,N/A,4-2 LV,
,50,Madison Supernovas,Denver Mountain Lions,5-3 MAD,4-3 MAD,
,51,Brooklyn Bulldogs,Richmond Robbers,5-2 RCH,4-3 RCH,
,52,Atlanta Cobalts,Cleveland Demons,N/A,4-1 ATL,
April 30,53,San Fransisco Maniacs,Seattle Dragons,N/A,4-2 SF,
,54,Lincoln Lumberjacks,Salt Lake City Scorpions,5-2 SLC,4-3 SLC,
,55,Delaware Pilots,Baltimore Oceanics,N/A,4-2 DEL,
,56,Tennessee Wolverines,Jacksonville Blood Hounds,N/A,4-1 JAX,
May 2,57,San Fransisco Maniacs,Las Vegas Vipers,3-2 SF,1-0 SF,
,58,Madison Supernovas,Salt Lake City Scorpions,3-2 (OT) MAD,1-0 MAD,
May 3,59,Delaware Pilots,Richmond Robbers,5-3 DEL,1-0 DEL,
,60,Atlanta Cobalts,Jacksonville Blood Hounds,4-3 (OT) ATL,1-0 ATL,
May 4,61,San Fransisco Maniacs,Las Vegas Vipers,5-2 LV,1-1 TIE,
,62,Madison Supernovas,Salt Lake City Scorpions,3-1 SLC,1-1 TIE,
May 5,63,Delaware Pilots,Richmond Robbers,4-3 DEL,2-0 DEL,
,64,Atlanta Cobalts,Jacksonville Blood Hounds,1-0 ATL,2-0 ATL,
May 6,65,Las Vegas Vipers,San Fransisco Maniacs,5-4 (OT) SF,2-1 SF,
,66,Salt Lake City Scorpions,Madison Supernovas,3-2 SLC,2-1 SLC,
May 7,67,Richmond Robbers,Delaware Pilots,3-1 RCH,2-1 DEL,
,68,Jacksonville Blood Hounds,Atlanta Cobalts,4-3 ATL,3-0 ATL,
